RA,DEC,NAME,MAGNITUDE,DIAMETER
189.177083,26.064444,PGC3792406,19.17,0.600000
189.180833,26.113056,PGC4334087,17.82,0.600000
189.183333,25.591667,PGC5627756,22.39,0.600000
189.184167,26.105556,PGC6425305,20.80,0.600000
189.189583,26.301111,PGC3096164,18.36,0.600000
189.193333,25.727500,PGC4334124,18.51,0.600000
189.193750,26.255000,PGC4334126,18.52,0.600000
189.194167,26.246389,PGC4334127,19.60,0.600000
189.196250,25.858611,PGC5252657,18.75,0.600000
189.198750,25.779722,PGC6425245,21.75,0.600000
189.200833,25.727222,PGC4334155,18.85,0.600000
189.205833,25.622500,PGC6425241,22.05,0.600000
189.208750,26.346667,PGC4560837,20.31,0.600000
189.211250,25.853889,PGC4334184,18.93,0.600000
189.211667,25.991944,PGC6425308,23.18,0.600000
189.216667,26.273889,PGC4334198,18.50,0.600000
189.220000,25.800278,PGC4334207,19.15,0.600000
189.220417,25.679722,PGC6425243,22.89,0.600000
189.221250,25.853333,PGC3792464,18.64,0.600000
189.222917,26.194722,PGC4334212,18.55,0.600000
189.224167,26.090278,PGC6425304,22.04,0.600000
189.225000,25.777222,PGC5627757,21.44,0.600000
189.225417,26.207500,PGC5619686,20.01,0.600000
189.227917,25.653889,PGC6425242,22.00,0.600000
189.228333,25.841667,PGC4334226,19.50,0.600000
189.235833,25.691667,PGC1746033,17.23,0.600000
189.245000,26.272222,PGC4334274,18.77,0.600000
189.245833,25.834444,PGC6425230,23.19,0.600000
189.245833,25.846389,PGC3792492,19.00,0.600000
189.247917,25.934722,PGC4334284,19.16,0.600000
189.248333,25.716667,PGC4334287,18.98,0.600000
189.250833,25.995000,PGC3096166,20.20V,0.600000
189.254167,25.969444,PGC6425309,23.10,0.600000
189.260417,25.610833,PGC1742871,18.43,0.600000
189.261250,26.256389,PGC4334319,18.41,0.600000
189.264583,25.645556,PGC6425227,23.39,0.600000
189.264167,26.079444,PGC4334327,19.27,0.600000
189.267500,26.090278,PGC1762205,17.73,0.600000
189.272083,26.056111,PGC1760893,17.91,0.600000
189.282917,26.309722,PGC6425303,22.51,0.600000
189.289167,26.165833,PGC6425321,21.68,0.600000
189.297500,25.986667,PGC6425325,21.25,0.600000
189.302500,26.186944,PGC4334438,19.28,0.600000
189.306250,25.878056,PGC4334450,18.25,0.600000
189.310417,26.337500,PGC4334462,18.70,0.600000
189.310417,26.101389,PGC1762627,18.71,0.600000
189.318333,25.671667,PGC6425231,21.96,0.600000
189.320000,26.316389,PGC4334477,19.44,0.600000
189.321667,26.321111,PGC4581208,18.69,0.600000
189.326667,25.981944,PGC4334501,18.70,0.600000
189.331667,25.727500,PGC6425228,22.63,0.600000
189.332500,26.159722,PGC4334518,18.25,0.600000
189.340833,25.742778,PGC3792629,18.77,0.600000
189.342917,26.181111,PGC5628097,21.15,0.600000
189.343750,25.796111,PGC5647186,20.90,0.600000
189.345417,26.356667,PGC4560841,18.97,0.600000
189.347500,25.972778,PGC1757504,17.77,0.600000
189.348750,25.766667,PGC6425229,22.47,0.600000
189.350833,25.714167,PGC4334573,19.47,0.600000
189.361667,26.076667,PGC4334605,18.28,0.600000
189.367083,25.992222,PGC6425324,22.29,0.600000
189.377500,26.318889,PGC5619688,22.12,0.600000
189.381250,25.923056,PGC1755309,17.27,0.600000
189.383333,25.621944,PGC5627759,21.03,0.600000
189.383333,25.775833,PGC5627758,19.84,0.600000
189.384167,25.843611,PGC1752031,18.51,0.600000
189.385000,26.031111,PGC4334660,19.33,0.600000
189.385833,26.285833,PGC6425320,22.50,0.600000
189.390417,26.311111,PGC3792693,19.67,0.600000
189.398333,25.625833,PGC3792700,18.78,0.600000
189.403750,26.102500,PGC6425323,22.45,0.600000
189.404583,25.602778,PGC6425216,21.77,0.600000
189.404583,25.774444,PGC3792706,18.92,0.600000
189.406250,25.723333,PGC6425217,22.72,0.600000
189.407500,26.174722,PGC5628096,20.16,0.600000
189.408333,25.984722,PGC5252659,22.49,0.600000
189.429583,26.316111,PGC6425317,20.55,0.600000
189.435000,25.826389,PGC5647187,21.93,0.600000
189.439167,26.116944,PGC5628098,21.68,0.600000
189.441250,26.380556,PGC1774048,17.81,0.600000
189.443333,26.299167,PGC4334796,18.15,0.600000
189.444167,26.363333,PGC6425318,21.93,0.600000
189.445833,26.399722,PGC6425332,21.53,0.600000
189.446667,25.642778,PGC5627761,21.90,0.600000
