#--------;------;----------------------;-------------------;------------------;-----------------------;-------------------;-------------------;------------------;--------------------;-------------------;------------------;-------------------;-------------------;-------------------;-------------------;----------------------;------------------;-------------------;-------------------;-------------------;-------------------;---------------------;---
$objname;$j2000;$link[objtype,objname];$link[type,objname];$link[vel,objname];$link[distance,objname];$link[flux,objname];$link[size,objname];$link[pos,objname];$link[sigma,objname];$link[a002,objname];$link[rot,objname];$link[name,objname];$link[coor,objname];$link[a004,objname];$link[a005,objname];$link[indices,objname];$link[col,objname];$link[a003,objname];$link[a009,objname];$link[a010,objname];$link[a011,objname];$link[parent,objname];pgc
#--------;------;----------------------;-------------------;------------------;-----------------------;-------------------;-------------------;------------------;--------------------;-------------------;------------------;-------------------;-------------------;-------------------;-------------------;----------------------;------------------;-------------------;-------------------;-------------------;-------------------;---------------------;---
SDSSJ123450.30+260858.0;J123450.3+260858;G  ;     ;  18548;     ;18.64 ;      size;  3;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5083615
SDSSJ123450.58+260442.7;J123450.6+260443;G  ;     ; 184972;     ;22.59 ;      size; 98;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425270
SDSSJ123452.30+261029.8;J123452.3+261030;G  ;Sc   ;   6423;     ;18.09 ;      33x9; 40;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4332799
SDSSJ123453.31+255140.8;J123453.3+255141;G  ;     ; 163552;     ;21.61 ;      size;141;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6423882
SDSSJ123453.67+254537.6;J123453.7+254538;G  ;     ; 215061;     ;21.71 ;      size;108;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6423874
SDSSJ123455.66+255213.9;J123455.7+255214;g  ;     ;       ;     ;19.78 ;      11x5; 24;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4332850
SDSSJ123456.00+255719.9;J123456.0+255720;g  ;     ;       ;     ;18.92 ;     13x12; 33;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4332855
2MASXJ12345745+2612078;J123457.5+261208;G  ;E    ;  26844;     ;17.66 ;     19x16;129;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;3791769
LAMOSTJ123457.69+255249.1;J123457.7+255249;Q  ;     ; 788934;     ;      ;          ;   ;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;6718062
SDSSJ123458.06+260222.3;J123458.1+260223;G  ;     ; 153043;     ;22.21 ;      size;165;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425272
SDSSJ123458.35+261913.2;J123458.4+261913;g  ;     ;       ;     ;19.18 ;      11x9;151;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4332877
SDSSJ123459.04+260404.7;J123459.1+260405;G  ;     ; 202585;     ;23.30 ;      size;175;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425271
SDSSJ123459.67+253553.2;J123459.7+253553;G  ;     ;  71498;     ;19.45 ;      size;  6;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5245120
IC3533;J123501.3+254647;G  ;S?   ;   8840;     ;16.01 ;     26x18; 27;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;41891
SDSSJ123501.36+253503.7;J123501.4+253504;g  ;     ;       ;     ;19.11 ;      11x7; 16;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4332913
SDSSJ123501.89+253723.8;J123501.9+253724;g  ;     ;       ;     ;19.31 ;      16x7; 30;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4332918
SDSSJ123502.37+261839.7;J123502.4+261840;g  ;     ;       ;     ;19.76 ;      11x8; 72;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4332925
SDSSJ123503.69+260516.4;J123503.7+260517;G  ;     ; 184368;     ;22.33 ;      size;162;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6424179
SDSSJ123506.77+253445.2;J123506.8+253445;g  ;     ;       ;     ;19.35 ;      11x8; 49;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4332972
SDSSJ123510.50+254008.1;J123510.5+254008;G  ;     ; 119922;     ;21.21 ;      size; 64;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627749
2MASXJ12351073+2549178;J123510.7+254918;G  ;E    ;   6707;     ;17.44 ;     18x17; PA;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;3791852
SDSSJ123511.51+254235.7;J123511.5+254236;G  ;     ; 120987;     ;22.01 ;      size; 70;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627751
SDSSJ123511.71+253954.5;J123511.7+253955;G  ;     ; 120805;     ;21.65 ;      size;118;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627752
SDSSJ123512.18+260237.8;J123512.2+260238;g  ;     ;       ;     ;19.12 ;      12x7;121;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4333038
SDSSJ123512.25+261035.7;J123512.3+261036;G  ;     ; 143771;     ;21.83 ;      size;140;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5628091
SDSSJ123512.61+261008.8;J123512.6+261009;G  ;     ; 144772;     ;21.01 ;      size; 21;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5245215
SDSSJ123513.27+261021.5;J123513.3+261022;G  ;     ; 142780;     ;22.47 ;      size;139;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5628092
SDSSJ123514.19+254223.4;J123514.2+254224;G  ;     ; 146763;     ;21.76 ;      size; 39;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627753
SDSSJ123517.13+253620.7;J123517.1+253621;G  ;     ; 211763;     ;21.75 ;      size; 75;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6423869
SDSSJ123517.29+261116.8;J123517.3+261117;G  ;     ; 145149;     ;21.81 ;      size; 81;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5628093
SDSSJ123521.58+255613.5;J123521.6+255614;G  ;     ;  71928;     ;19.93 ;      size; 70;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5252676
SDSSJ123521.63+261204.4;J123521.7+261204;g  ;     ;       ;     ;19.89 ;      10x6; 36;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4333174
SDSSJ123523.75+261351.0;J123523.8+261351;G  ;     ; 195701;     ;20.78 ;      size;101;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6424178
SDSSJ123526.17+254809.5;J123526.2+254810;G  ;     ; 171569;     ;21.64 ;      size; 20;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425257
SDSSJ123526.74+253748.9;J123526.8+253749;G  ;     ; 120689;     ;20.48 ;      size; 89;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5245121
SDSSJ123526.86+261800.6;J123526.8+261800;g  ;     ;       ;     ;19.60 ;     11x10; 27;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4333242
SDSSJ123529.44+255352.5;J123529.5+255353;G  ;     ; 173162;     ;22.19 ;      size; 77;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6424182
SDSSJ123531.97+254407.7;J123532.0+254408;G  ;     ; 146472;     ;22.04 ;      size; 17;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627750
SDSSJ123533.75+260013.7;J123533.8+260014;G  ;     ; 177439;     ;21.94 ;      size; 15;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425287
SDSSJ123534.45+260937.6;J123534.5+260938;G  ;     ; 185542;     ;22.31 ;      size; 23;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6424181
NGC4562;J123534.6+255059;G  ;SBcd ;   1353;30.22;14.37 ;    116x38; 49;   ;   ; 54;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;Parent;41955
SDSSJ123534.87+253814.3;J123534.9+253815;G  ;     ; 154995;     ;22.90 ;      size; 74;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6423872
SDSSJ123539.57+254816.5;J123539.6+254817;G  ;     ; 160324;     ;21.70 ;      size; 47;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425254
SDSSJ123540.66+254846.1;J123540.7+254846;G  ;     ; 154577;     ;22.25 ;      size; 83;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6423873
PGC1768433;J123541.2+261415;G  ;E    ;  52243;     ;17.93 ;     13x11; 11;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;1768433
NGC4565C;J123541.4+261709;G  ;Scd  ;   6293;     ;16.43 ;      58x8;141;   ;   ;137;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;41974
SDSSJ123541.47+261302.3;J123541.5+261303;G  ;     ;  71609;     ;20.45 ;       6x5;166;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4581093
IC3546;J123541.7+261320;G  ;Sbc  ;   6410;     ;15.11 ;     48x27;139;   ;   ;123;Name;Coor;       ;      ;   ;Col;ApPhot;     ;     ;    ;Parent;41976
SDSSJ123545.47+261140.9;J123545.5+261141;g  ;     ;       ;     ;19.31 ;      10x8;106;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4333448
2MASXJ12354848+2535477;J123548.5+253548;G  ;     ;  51708;     ;18.42 ;     14x12; 77;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;3792082
SDSSJ123551.80+262047.2;J123551.8+262047;G  ;     ; 177014;     ;22.01 ;      size;126;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425282
SDSSJ123553.72+255426.4;J123553.7+255427;G  ;     ; 154330;     ;22.91 ;      size; 74;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425289
SDSSJ123555.28+261929.9;J123555.3+261930;G  ;     ; 119531;     ;21.23 ;       5x4; PA;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4560835
