#--------;------;----------------------;-------------------;------------------;-----------------------;-------------------;-------------------;------------------;--------------------;-------------------;------------------;-------------------;-------------------;-------------------;-------------------;----------------------;------------------;-------------------;-------------------;-------------------;-------------------;---------------------;---
$objname;$j2000;$link[objtype,objname];$link[type,objname];$link[vel,objname];$link[distance,objname];$link[flux,objname];$link[size,objname];$link[pos,objname];$link[sigma,objname];$link[a002,objname];$link[rot,objname];$link[name,objname];$link[coor,objname];$link[a004,objname];$link[a005,objname];$link[indices,objname];$link[col,objname];$link[a003,objname];$link[a009,objname];$link[a010,objname];$link[a011,objname];$link[parent,objname];pgc
#--------;------;----------------------;-------------------;------------------;-----------------------;-------------------;-------------------;------------------;--------------------;-------------------;------------------;-------------------;-------------------;-------------------;-------------------;----------------------;------------------;-------------------;-------------------;-------------------;-------------------;---------------------;---
SDSSJ123637.01+260631.1;J123637.0+260631;G  ;     ; 165290;     ;21.86 ;      size; 97;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425306
SDSSJ123638.92+261300.6;J123638.9+261301;G  ;     ;  93451;     ;20.69 ;      size; 73;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5619687
SDSSJ123639.17+260023.1;J123639.2+260023;G  ;     ; 172415;     ;21.86 ;      size; 60;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425307
HD109718;J123639.7+254730;S  ;     ;       ;     ;9.93  ;          ;   ;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;2873675
2MASXJ12364254+2603519;J123642.5+260352;G  ;     ;  66985;     ;19.17 ;      size; 73;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;3792406
ASASSN-16NP;J123643.2+260649;sn ;     ;   6246;     ;      ;          ;   ;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;Parent;6728041
SDSSJ123643.42+260647.1;J123643.4+260647;G  ;S?   ;   6240;     ;17.82 ;     14x10;175;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4334087
SDSSJ123644.03+253529.9;J123644.0+253530;G  ;     ; 140583;     ;22.39 ;      size;131;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627756
SDSSJ123644.23+260619.4;J123644.2+260620;G  ;     ; 165219;     ;20.80 ;      size; 84;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425305
PGC139983;J123645.5+261804;G  ;Sm   ;   9144;     ;18.36 ;      10x8; 22;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;3096164
SDSSJ123646.36+254338.5;J123646.4+254339;G  ;S?   ;  26157;     ;18.51 ;     15x11; 93;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4334124
SDSSJ123646.46+261518.6;J123646.5+261518;g  ;     ;       ;     ;18.52 ;      12x9; 24;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4334126
SDSSJ123646.59+261447.0;J123646.6+261447;g  ;     ;       ;     ;19.60 ;      14x9;135;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4334127
SDSSJ123647.13+255131.0;J123647.1+255131;G  ;     ;  52433;     ;18.75 ;      size; 84;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5252657
SDSSJ123647.71+254647.1;J123647.7+254647;G  ;     ; 155012;     ;21.75 ;      size;106;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425245
SDSSJ123648.13+254338.0;J123648.2+254338;G  ;     ;  26321;     ;18.85 ;      12x7;107;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4334155
SDSSJ123649.38+253721.1;J123649.4+253721;G  ;     ; 185364;     ;22.05 ;      size; 91;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425241
SDSSJ123650.07+262048.3;J123650.1+262048;G  ;     ; 104849;     ;20.31 ;       7x5;148;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4560837
SDSSJ123650.69+255114.5;J123650.7+255114;g  ;     ;       ;     ;18.93 ;      13x9;108;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4334184
SDSSJ123650.78+255930.7;J123650.8+255931;G  ;     ; 174152;     ;23.18 ;      size; 51;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425308
SDSSJ123652.02+261625.4;J123652.0+261626;G  ;     ;  20997;     ;18.50 ;     11x11; PA;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4334198
SDSSJ123652.82+254801.1;J123652.8+254801;g  ;     ;       ;     ;19.15 ;      14x9;166;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4334207
SDSSJ123652.91+254047.1;J123652.9+254047;G  ;     ; 175464;     ;22.89 ;      size;124;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425243
2MASXJ12365307+2551119;J123653.1+255112;G  ;     ;  51597;     ;18.64 ;      16x9; 52;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;3792464
SDSSJ123653.52+261141.4;J123653.5+261141;G  ;E?   ;  26678;     ;18.55 ;      16x8; 79;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4334212
SDSSJ123653.77+260524.9;J123653.8+260525;G  ;     ; 166190;     ;22.04 ;      size;151;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425304
SDSSJ123653.99+254637.4;J123654.0+254638;G  ;     ; 139820;     ;21.44 ;      size; 84;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627757
SDSSJ123654.07+261226.2;J123654.1+261227;G  ;     ;  80754;     ;20.01 ;      size; 56;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5619686
SDSSJ123654.65+253913.4;J123654.7+253914;G  ;     ; 175372;     ;22.00 ;      size; 93;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425242
SDSSJ123654.85+255029.6;J123654.8+255030;g  ;     ;       ;     ;19.50 ;      10x6;150;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4334226
PGC1746033;J123656.6+254130;G  ;E    ;  26067;     ;17.23 ;     21x16; 79;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;1746033
SDSSJ123658.79+261619.5;J123658.8+261620;G  ;     ;  41806;     ;18.77 ;      11x9;132;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4334274
SDSSJ123658.98+255003.5;J123659.0+255004;G  ;     ; 191859;     ;23.19 ;      size; 74;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425230
2MASXJ12365900+2550464;J123659.0+255047;G  ;     ;  52584;     ;19.00 ;      size; 86;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;3792492
SDSSJ123659.46+255604.1;J123659.5+255605;g  ;     ;       ;     ;19.16 ;      12x7; 77;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4334284
SDSSJ123659.63+254259.5;J123659.6+254300;g  ;     ;       ;     ;18.98 ;     12x10;  8;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4334287
PGC3096166;J123700.2+255942;G  ;     ;   5996;     ;20.20V;          ;   ;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;3096166
SDSSJ123701.00+255810.1;J123701.0+255810;G  ;     ; 201604;     ;23.10 ;      size; 52;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425309
PGC1742871;J123702.5+253639;G  ;E    ;  53599;     ;18.43 ;     16x13;  1;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;1742871
SDSSJ123702.67+261522.9;J123702.7+261523;G  ;     ;  26645;     ;18.41 ;     17x10; 93;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4334319
SDSSJ123703.44+253843.9;J123703.5+253844;G  ;     ; 191659;     ;23.39 ;      size; 40;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425227
SDSSJ123703.34+260445.3;J123703.4+260446;g  ;     ;       ;     ;19.27 ;      11x5; 58;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4334327
PGC1762205;J123704.2+260525;G  ;SBc  ;  18205;     ;17.73 ;     17x13;160;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;1762205
PGC1760893;J123705.3+260322;G  ;S?   ;  18430;     ;17.91 ;     14x12;151;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;1760893
SDSSJ123707.84+261834.9;J123707.9+261835;G  ;     ; 179829;     ;22.51 ;      size; 85;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425303
SDSSJ123709.41+260957.0;J123709.4+260957;G  ;     ; 166618;     ;21.68 ;      size;  2;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425321
SDSSJ123711.35+255912.0;J123711.4+255912;G  ;     ; 174185;     ;21.25 ;      size;143;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425325
SDSSJ123712.64+261112.5;J123712.6+261113;g  ;     ;       ;     ;19.28 ;     13x10;108;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4334438
SDSSJ123713.43+255240.1;J123713.5+255241;G  ;     ;  39027;     ;18.25 ;     14x11; 45;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4334450
SDSSJ123714.49+262014.8;J123714.5+262015;g  ;     ;       ;     ;18.70 ;     11x10; 47;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4334462
PGC1762627;J123714.5+260605;G  ;     ;  68507;     ;18.71 ;     14x11; 33;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;1762627
SDSSJ123716.35+254017.6;J123716.4+254018;G  ;     ; 164928;     ;21.96 ;      size; 47;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425231
SDSSJ123716.75+261858.5;J123716.8+261859;g  ;     ;       ;     ;19.44 ;      12x7;158;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4334477
SDSSJ123717.19+261915.9;J123717.2+261916;G  ;     ;  52166;     ;18.69 ;     17x10; 42;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4581208
SDSSJ123718.43+255854.7;J123718.4+255855;g  ;     ;       ;     ;18.70 ;     18x16; 88;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4334501
SDSSJ123719.63+254338.9;J123719.6+254339;G  ;     ; 164626;     ;22.63 ;      size; 87;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425228
SDSSJ123719.83+260934.0;J123719.8+260935;g  ;     ;       ;     ;18.25 ;      18x9;124;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4334518
2MASXJ12372180+2544334;J123721.8+254434;G  ;     ;  51964;     ;18.77 ;     12x10;112;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;3792629
SDSSJ123722.30+261051.9;J123722.3+261052;G  ;     ; 104773;     ;21.15 ;      size;114;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5628097
SDSSJ123722.50+254746.0;J123722.5+254746;G  ;     ;  51442;     ;20.90 ;      size;143;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5647186
SDSSJ123722.91+262123.0;J123722.9+262124;G  ;     ;  66659;     ;18.97 ;     12x10; 20;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4560841
PGC1757504;J123723.4+255822;G  ;     ;       ;     ;17.77 ;     15x10; 42;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;1757504
SDSSJ123723.67+254600.2;J123723.7+254600;G  ;     ; 192083;     ;22.47 ;      size; 68;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425229
SDSSJ123724.19+254250.2;J123724.2+254251;g  ;     ;       ;     ;19.47 ;      10x7;178;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4334573
SDSSJ123726.79+260435.5;J123726.8+260436;G  ;S?   ;  27028;     ;18.28 ;     21x10;126;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4334605
SDSSJ123728.08+255931.4;J123728.1+255932;G  ;     ; 174495;     ;22.29 ;      size; 38;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425324
SDSSJ123730.56+261907.4;J123730.6+261908;G  ;     ; 140360;     ;22.12 ;      size; 88;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5619688
PGC1755309;J123731.5+255523;G  ;Sb   ;  18202;     ;17.27 ;     14x11;150;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;1755309
SDSSJ123731.97+253718.5;J123732.0+253719;G  ;     ; 115570;     ;21.03 ;      size; 21;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627759
SDSSJ123732.00+254632.8;J123732.0+254633;G  ;     ;  81709;     ;19.84 ;      size; 24;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627758
PGC1752031;J123732.2+255037;G  ;     ;  51823;     ;18.51 ;     13x12; PA;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;1752031
SDSSJ123732.43+260151.4;J123732.4+260152;g  ;     ;       ;     ;19.33 ;      11x6;  5;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4334660
SDSSJ123732.60+261709.2;J123732.6+261709;G  ;     ; 166703;     ;22.50 ;      size;123;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425320
2MASXJ12373368+2618392;J123733.7+261840;G  ;     ; 104835;     ;19.67 ;       9x8; 16;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;3792693
2MASXJ12373559+2537322;J123735.6+253733;G  ;     ;  54524;     ;18.78 ;      15x8; 87;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;3792700
SDSSJ123736.87+260609.2;J123736.9+260609;G  ;     ; 167596;     ;22.45 ;      size; 81;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425323
SDSSJ123737.07+253610.0;J123737.1+253610;G  ;     ; 195458;     ;21.77 ;      size;158;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425216
2MASXJ12373706+2546282;J123737.1+254628;G  ;     ;  52441;     ;18.92 ;      size;  7;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;3792706
SDSSJ123737.46+254323.4;J123737.5+254324;G  ;     ; 182476;     ;22.72 ;      size; 69;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425217
SDSSJ123737.83+261028.9;J123737.8+261029;G  ;     ;  82928;     ;20.16 ;      size;172;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5628096
SDSSJ123737.94+255905.1;J123738.0+255905;G  ;     ; 147974;     ;22.49 ;      size;118;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5252659
SDSSJ123743.08+261857.3;J123743.1+261858;G  ;     ; 169653;     ;20.55 ;      size;166;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425317
SDSSJ123744.40+254934.3;J123744.4+254935;G  ;     ; 102410;     ;21.93 ;      size;135;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5647187
SDSSJ123745.40+260701.2;J123745.4+260701;G  ;     ; 105121;     ;21.68 ;      size; 48;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5628098
PGC1774048;J123745.9+262250;G  ;     ;       ;     ;17.81 ;      15x9;169;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;1774048
SDSSJ123746.41+261756.7;J123746.4+261757;G  ;S?   ;   6624;     ;18.15 ;     26x15; 84;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4334796
SDSSJ123746.57+262148.1;J123746.6+262148;G  ;     ; 171094;     ;21.93 ;      size;  2;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425318
SDSSJ123746.98+262359.1;J123747.0+262359;G  ;     ; 169841;     ;21.53 ;      size;170;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425332
SDSSJ123747.23+253833.5;J123747.2+253834;G  ;     ; 135250;     ;21.90 ;      size;151;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627761
SDSSJ123747.55+260849.6;J123747.6+260850;G  ;     ; 142944;     ;22.28 ;      size;119;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5628099
SDSSJ123751.24+262111.0;J123751.3+262111;G  ;     ; 171550;     ;22.50 ;      size;114;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425319
SDSSJ123752.98+253626.6;J123753.0+253627;G  ;     ; 140138;     ;22.33 ;      size; 44;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627762
SDSSJ123753.40+254646.6;J123753.4+254647;G  ;     ;  52667;     ;18.85 ;      size;106;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5252658
SDSSJ123754.35+262409.9;J123754.4+262410;G  ;     ; 171311;     ;22.25 ;      size;177;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425331
SDSSJ123755.07+262026.2;J123755.1+262026;G  ;     ; 179695;     ;23.37 ;      size;111;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425322
SDSSJ123755.15+262218.6;J123755.2+262219;G  ;     ; 179695;     ;22.77 ;      size; 68;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425333
SDSSJ123756.14+254544.6;J123756.2+254545;G  ;     ; 137386;     ;22.45 ;      size;133;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627763
2MASXJ12375714+2558232;J123757.1+255823;G  ;     ;  46580;     ;18.41 ;     11x10; PA;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;3792813
2MASXJ12375749+2544022;J123757.5+254403;G  ;     ;  47992;     ;18.59 ;     13x11;101;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;3792814
2MASXJ12375794+2550592;J123757.9+255059;G  ;E    ;  51824;     ;17.80 ;      size; 98;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;3792815
SDSSJ123758.69+262014.6;J123758.7+262015;G  ;     ;  83446;     ;19.39 ;       8x6;144;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;4546867
SDSSJ123800.37+261607.3;J123800.4+261608;G  ;     ; 192246;     ;22.62 ;      size; 53;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425335
SDSSJ123800.49+260356.7;J123800.5+260357;G  ;     ; 191971;     ;22.64 ;      size; 23;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425338
SDSSJ123800.64+254238.0;J123800.6+254238;g  ;     ;       ;     ;19.08 ;     15x10;130;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4334966
SDSSJ123801.32+260209.2;J123801.3+260209;G  ;     ; 104034;     ;20.74 ;      size; 81;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5245218
SDSSJ123801.85+262303.6;J123801.9+262304;G  ;     ; 140489;     ;21.47 ;      size; 94;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5624851
SDSSJ123802.31+260224.0;J123802.3+260224;g  ;     ;       ;     ;18.92 ;      12x6; 65;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4334993
SDSSJ123803.01+260637.2;J123803.0+260638;G  ;     ; 104073;     ;20.86 ;      size; 77;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5245219
2MASXJ12380351+2544178;J123803.5+254418;g  ;     ;       ;     ;14.18K;      size;   ;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;3792850
SDSSJ123803.80+255253.3;J123803.8+255254;G  ;     ; 141205;     ;21.85 ;      size; 98;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5647188
SDSSJ123804.79+262005.1;J123804.8+262005;G  ;     ; 180259;     ;22.82 ;      size;100;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425336
SDSSJ123805.11+255946.2;J123805.1+255946;g  ;     ;       ;     ;19.97 ;      13x4; 44;   ;   ;   ;Name;Coor;       ;      ;   ;   ;      ;     ;     ;    ;      ;4335026
SDSSJ123805.47+253622.5;J123805.5+253623;G  ;     ; 134800;     ;21.19 ;      size; 86;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627764
SDSSJ123806.60+260753.0;J123806.6+260753;G  ;     ; 104124;     ;20.58 ;      size; 36;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5628100
SDSSJ123807.22+261859.5;J123807.2+261900;G  ;     ; 180475;     ;22.81 ;      size;154;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;6425334
PGC1760926;J123807.5+260326;G  ;     ;   9130;     ;18.39 ;     17x12; 58;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;1760926
SDSSJ123807.65+260321.0;J123807.7+260321;G  ;     ;  71119;     ;19.74 ;      size;134;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5805482
SDSSJ123811.75+253641.3;J123811.8+253642;G  ;     ; 104337;     ;21.30 ;      size;  2;   ;   ;   ;Name;Coor;       ;      ;   ;Col;      ;     ;     ;    ;      ;5627760
#-- end of data table ----------------------------------------------------------
# 239 lines were successfully retrieved
#-------------------------------------------------------------------------------
# Pleinpot version: 8.18.10
# Date: 2026-03-26T01:47:12
